,Type,Location,Price,Bedroom,Bathrooms,Toilet
526,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
527,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
528,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
529,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
530,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
531,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
532,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
533,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
534,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
535,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
536,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
537,3 bedroom flat / apartment for sale,"Off Club Road, Old Ikoyi, Ikoyi, Lagos",310000000,3,4,4
538,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
539,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
540,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
541,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
542,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
543,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
544,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
545,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
546,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
547,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
548,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
549,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
550,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
551,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
552,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
553,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
554,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
555,2 bedroom flat / apartment short let,"Banana Island, Ikoyi, Lagos",110000,2,2,3
556,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
557,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
558,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
559,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
560,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
561,1 bedroom mini flat (room and parlour) for rent,"Mojisola Onikoyi Estate Off Banana Island Road, Ikoyi, Lagos",5500000,1,1,1
562,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
563,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
564,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,No Info,No Info,No Info
565,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
566,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
567,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
568,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,No Info,No Info,No Info
569,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
570,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
571,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
572,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
573,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
574,4 bedroom flat / apartment for sale,"Ikoyi, Lagos",600000,4,4,5
575,3 bedroom flat / apartment for sale,"Foreshore Estate Phase One, Osborne, Ikoyi, Lagos",320000000,3,3,4
