,Type,Location,Price,Bedroom,Bathrooms,Toilet
262,1 bedroom mini flat (room and parlour) for rent,"Canal West Estate, Osapa, Lekki, Lagos",2000000,1,1,1
263,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
264,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
265,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
266,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
267,3 bedroom flat / apartment for rent,"Alpha Bay Estates. Alpha Beach Road. Lekki, Lekki, Lagos",2500000,3,3,3
268,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
269,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
270,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
271,2 bedroom flat / apartment for sale,"Lekki Phase 2, Lekki, Lagos",100000000,2,2,3
272,2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos",2300000,2,2,3
273,2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos",2300000,2,2,3
274,2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos",2300000,2,2,3
275,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
276,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
277,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
278,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
279,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
280,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
281,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
282,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
283,3 bedroom flat / apartment for rent,"Alpha Bay Estates. Alpha Beach Road. Lekki, Lekki, Lagos",2500000,3,3,3
284,3 bedroom flat / apartment for rent,"Alpha Bay Estates. Alpha Beach Road. Lekki, Lekki, Lagos",2500000,3,3,3
285,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
286,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
287,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
288,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
289,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
290,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
291,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
292,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,No Info,No Info,No Info
293,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,1,1,1
294,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
295,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
296,Self contain (single rooms) for rent,"6 Familoni Street, Igbo Efon, Lekki, Lagos",800000,No Info,No Info,No Info
297,Self contain (single rooms) for rent,"6 Familoni Street, Igbo Efon, Lekki, Lagos",800000,No Info,No Info,No Info
298,Self contain (single rooms) for rent,"6 Familoni Street, Igbo Efon, Lekki, Lagos",800000,No Info,No Info,No Info
299,1 bedroom mini flat (room and parlour) for rent,"No. 6 Familoni Street, Igbo Efon, Lekki, Lagos",1500000,1,1,1
300,1 bedroom mini flat (room and parlour) for rent,"No. 6 Familoni Street, Igbo Efon, Lekki, Lagos",1500000,1,1,1
301,1 bedroom mini flat (room and parlour) for rent,"No. 6 Familoni Street, Igbo Efon, Lekki, Lagos",1500000,1,1,1
302,1 bedroom flat / apartment short let,"Dr Miracle, Ikate Elegushi, Lekki, Lagos",95000,1,1,1
303,1 bedroom flat / apartment short let,"Dr Miracle, Ikate Elegushi, Lekki, Lagos",95000,1,1,1
304,1 bedroom flat / apartment short let,"Dr Miracle, Ikate Elegushi, Lekki, Lagos",95000,1,1,1
305,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
306,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
307,2 bedroom flat / apartment for rent,"Lekki County Road, Ikota, Lekki, Lagos",2500000,2,2,3
308,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
309,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
310,2 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",75000,2,2,3
311,1 bedroom mini flat (room and parlour) for rent,"65 Ajiran Road, Agungi, Lekki, Lagos",1500000,1,1,2
312,1 bedroom mini flat (room and parlour) for rent,"65 Ajiran Road, Agungi, Lekki, Lagos",1500000,1,1,2
313,1 bedroom mini flat (room and parlour) for rent,"65 Ajiran Road, Agungi, Lekki, Lagos",1500000,1,1,2
314,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
315,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
316,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
317,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
318,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
319,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
320,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
