,Type,Location,Price,Bedroom,Bathrooms,Toilet
63,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
64,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
65,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
66,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
67,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
68,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
69,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
70,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
71,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
72,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
73,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
74,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
75,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
76,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
77,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
78,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
79,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
80,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
81,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
82,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
83,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
84,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
85,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
86,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
87,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
88,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
89,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
90,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
91,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
92,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
93,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
94,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
95,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
96,2 bedroom flat / apartment for rent,"Aguda, Ogba, Ikeja, Lagos",1500000,2,2,3
97,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
98,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
99,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
100,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
101,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
102,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
103,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
104,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
105,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
106,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
107,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
108,Self contain (single rooms) for rent,"Oke Ira, Ogba, Ikeja, Lagos",35000,No Info,No Info,No Info
109,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
110,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
111,1 bedroom mini flat (room and parlour) for rent,"Off College Road, Ogba, Ikeja, Lagos",750000,1,1,2
112,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
113,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
114,2 bedroom flat / apartment short let,"Opebi, Ikeja, Lagos",90000,2,2,2
115,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
116,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
117,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
118,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,1,2
119,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,1,2
120,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,1,2
121,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
122,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
123,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
124,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
125,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
126,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
127,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
128,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
129,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
130,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
131,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
132,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
133,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
134,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
135,1 bedroom mini flat (room and parlour) short let,"Adeyemo Akapo, Omole Phase 1, Ikeja, Lagos",40000,1,1,1
136,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
137,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
138,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
