,Type,Location,Price,Bedroom,Bathrooms,Toilet
136,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
137,Self contain (single rooms) for sale,"Comfy Burrows, No. 88 Community Road, Akoka, Yaba, Lagos",13000000,1,1,1
138,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
139,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
140,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
141,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
142,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
143,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
144,Self contain (single rooms) for rent,"Off Fola Agoro Road, Fola Agoro, Yaba, Lagos",700000,No Info,No Info,No Info
145,Self contain (single rooms) for rent,"Off Fola Agoro Road, Fola Agoro, Yaba, Lagos",700000,No Info,No Info,No Info
146,Self contain (single rooms) for rent,"Off Fola Agoro Road, Fola Agoro, Yaba, Lagos",700000,No Info,No Info,No Info
147,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
148,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
149,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
150,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
151,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
152,Self contain (single rooms) for rent,"Off Mfm International Headquarters, Iwaya, Yaba, Lagos",650000,1,1,1
153,Self contain (single rooms) for rent,"Waec Office, Jibowu, Yaba, Lagos",600000,No Info,No Info,No Info
154,Self contain (single rooms) for rent,"Waec Office, Jibowu, Yaba, Lagos",600000,No Info,No Info,No Info
155,Self contain (single rooms) for rent,"Waec Office, Jibowu, Yaba, Lagos",600000,No Info,No Info,No Info
